Date,Open,High,Low,Close,Volume,"Relative Strength Index - RSI - RSI(14)","MACD - MACD(12,26,9)","MACD - Histogram","MACD - Signal Line(MACD(12,26,9),9,Modern)","Exponential Moving Average - EMA - EMA(10,Modern)","Exponential Moving Average - EMA - EMA(60,Modern)","Slow %K - SS %K(14,3)","Slow %D - SS %D(3)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Historical Volatility - HV - HV(Close,20,251)","Volatility (HVs & IVs) - VOL - hv360","Volatility (HVs & IVs) - VOL - iv360"
08/18/2014,196.8,197.45,196.69,197.36,75424360,0,0,0,0,0,0,0,0,0,0,0,0,0
08/19/2014,197.84,198.54,197.4426,198.39,59134709,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2014,198.12,199.16,198.08,198.92,72762541,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2014,199.09,199.76,198.93,199.5,67790690,0,0,0,0,0,0,0,0,0,0,0,0,0
08/22/2014,199.34,199.69,198.74,199.19,76107359,0,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2014,200.14,200.5949,199.1502,200.2,63855022,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2014,200.33,200.82,200.28,200.33,47298324,0,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2014,200.43,200.57,199.94,200.25,47873708,0,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2014,199.59,200.27,199.39,200.14,58330373,0,0,0,0,0,0,0,0,0,0,0,0,0
08/29/2014,200.45,200.73,199.82,200.71,65906598,0,0,0,0,199.499,0,0,0,0,0,0,0,0
09/02/2014,200.97,200.995,199.86,200.61,72425793,0,0,0,0,199.701,0,0,0,0,0,0,0,0
09/03/2014,201.38,201.41,200.22,200.5,57461742,0,0,0,0,199.846272727273,0,0,0,0,0,0,0,0
09/04/2014,200.84,201.58,199.66,200.2101,85236442,0,0,0,0,199.912423140496,0,0,0,0,0,0,0,0
09/05/2014,200.17,201.19,199.41,201.11,102176784,0,0,0,0,200.130164387678,0,0,0,0,0,0,0,0
09/08/2014,200.92,201.21,200,200.59,64145745,75.7583973970458,0,0,0,200.213770862646,0,0,0,0,0,0,0,0
09/09/2014,200.41,200.55,198.91,199.32,88590876,62.1918793321204,0,0,0,200.051267069438,0,0,0,0,0,0,0,0
09/10/2014,199.43,200.2,198.77,200.07,67251103,66.0575354505226,0,0,0,200.054673056813,0,0,0,0,0,0,0,0
09/11/2014,199.27,200.33,199.12,200.3,66823558,67.1662256096781,0,0,0,200.099277955574,0,44.9891067538122,14.9963689179374,0,0,0,0,0
09/12/2014,200.1,200.12,198.56,199.13,117478516,56.9716664252321,0,0,0,199.923045600015,0,39.7701149425284,28.2530738987802,0,0,0,0,0
09/15/2014,199.16,199.32,198.38,198.981,76401421,55.8099130483421,0,0,0,199.751764581831,0,30.1434878587195,38.30090318502,201.584486930133,197.996623069867,0,0,0
09/16/2014,198.61,200.84,198.5,200.48,116200722,63.8062132727516,0,0,0,199.884171021498,0,34.7239915074307,34.8791981028929,201.37287723918,198.52023276082,5.67504811180622,0,0
09/17/2014,200.77,201.68,199.75,200.75,151265896,65.0335468933197,0,0,0,200.041594472134,0,52.2783505154637,39.0486099605379,201.338615912959,198.790494087041,5.43758606322896,0,0
09/18/2014,201.36,201.85,201.1,201.82,94990300,69.4541855253837,0,0,0,200.364940931746,0,79.3380140421261,55.4467853550068,201.585580948144,198.833529051856,5.64801991598391,0,0
09/19/2014,201.52,201.899,200.29,200.7,121649147,60.7907549610891,0,0,0,200.425860762338,0,79.0164253085818,70.2109299553905,201.621021244486,198.918088755514,6.0014624991668,0,0
09/22/2014,200.35,200.38,198.73,199.15,125552758,51.2610892696706,0,0,0,200.193886078277,0,62.1431290445374,73.4991894650818,201.625508566933,198.909601433067,6.62389410050619,0,0
09/23/2014,198.43,199.26,197.95,198.01,111393319,45.5992717046141,-0.0472489582819833,0,0,199.796815882226,0,28.6702466551379,56.609933669419,201.835694731847,198.480415268153,6.63713030891563,0,0
09/24/2014,198.04,199.69,197.52,199.56,107275635,53.1724924175103,-0.0650194231704404,0,0,199.753758449094,0,24.2255423313919,38.3463060103557,201.814891842589,198.424218157411,7.2614706193511,0,0
09/25/2014,199.04,199.05,196.27,196.34,150300028,40.5448903562588,-0.335067286850318,0,0,199.133075094713,0,15.5477538152897,22.8145142672732,202.28517550303,197.562934496971,9.23011357577858,0,0
09/26/2014,196.7,198.39,196.42,197.9,103546740,47.0995030030725,-0.418380373359071,0,0,198.908879622947,0,23.9176312591929,21.2303091352915,202.328947391387,197.295162608613,9.75502985496547,0,0
09/29/2014,196.2,197.89,196.05,197.54,95111605,45.8434788247315,-0.507604240300594,0,0,198.659992418775,0,18.6473373472846,19.3709074739224,202.319158880898,196.987951119102,9.67950212811432,0,0
09/30/2014,197.69,198.3,196.61,197.02,131302082,44.017512767217,-0.613205797131684,0,0,198.361811978998,0,23.604778669129,22.0565824252021,202.33425220121,196.61385779879,9.70041555422282,0,0
10/01/2014,196.7,196.77,193.91,194.35,177797862,36.0726592525966,-0.901945412345412,0,0,197.63239161918,0,14.7305328389291,18.9942162851142,202.750293038669,195.582816961331,10.6956101152859,0,0
10/02/2014,194.18,195.055,192.35,194.38,157285182,36.2119730854478,-1.11549416600465,0,0,197.04104768842,0,14.7090263821781,17.6814459634121,202.982080824081,194.768019175919,10.7128299162239,0,0
10/03/2014,195.68,196.94,195.08,196.52,121568769,45.3594237289809,-1.09938000814788,-0.532341600859872,-0.567038407288003,196.946311745071,0,24.5136043120316,17.9843878443796,202.740336073764,194.550763926236,11.4102104396851,0,0
10/06/2014,197.34,197.6,195.582,196.29,104778335,44.6188336907496,-1.09257398694217,-0.420428463723334,-0.672145523218837,196.826982336876,0,35.3963765839355,24.8730024260484,202.545877324763,194.315222675237,11.3977091069744,0,0
10/07/2014,195.28,195.72,193.22,193.26,147913498,36.2272303684388,-1.31650005024889,-0.515483621624043,-0.801016428624848,196.178440093808,0,31.4867176318637,30.4655661759436,202.792030270078,193.463069729922,12.3836438578222,0,0
10/08/2014,193.37,196.92,192.36,196.64,186461453,47.980344626517,-1.20730821893366,-0.325033432247051,-0.88227478668661,196.262360076752,0,31.9056096624428,32.929567959414,202.574238583198,193.337861416802,13.9830354762199,0,0
10/09/2014,196.33,196.6,192.58,192.74,210704601,39.0399025376741,-1.41911167623448,-0.429469511638295,-0.989642164596184,195.621930971888,0,20.606015924506,27.9994477396042,202.587914767634,192.568185232366,15.5100831919869,0,0
10/10/2014,192.69,193.65,190.49,190.54,221908954,35.0700467265201,-1.74438091855009,-0.603791003163127,-1.14058991538697,194.697943522454,0,17.6630942156167,23.3915732675218,202.961121185798,191.335978814202,15.8231767112533,0,0
10/13/2014,190.46,191.15,187.3,187.4099,230938833,30.3424834810894,-2.22903709508171,-0.870757743755794,-1.35827935132591,193.372844700189,0,1.85651586765692,13.3752086692599,203.693460898138,189.446529101862,16.6035782653812,0,0
10/14/2014,188.42,189.82,187.04,187.7,215846527,31.2672643406078,-2.56020946022662,-0.961544087120562,-1.59866537310605,192.341418391064,0,2.44017857142846,7.31992955156734,203.791543126048,188.070446873952,16.2358680128676,0,0
10/15/2014,185.16,187.694,181.92,186.43,380714600,29.4254947622401,-2.89180935359965,-1.03451518439488,-1.85729416920477,191.266615047234,0,12.9187668216296,5.73848708690497,203.767585964257,186.662404035743,16.1844733839039,0,0
10/16/2014,183.06,187.58,182.89,186.27,270391490,29.192195634096,-3.13141828027543,-1.01929928885652,-2.1121189914189,190.358139584101,0,21.2215782434241,12.1935078788273,203.269604380095,185.605385619905,15.8749262106089,0,0
10/17/2014,188.42,189.75,187.62,188.47,214624921,36.6317732311796,-3.10796181792423,-0.796674261204264,-2.31128755671997,190.014841477901,0,31.3020515945562,21.8141322198699,202.531673183913,185.120316816087,16.8073712479715,0,0
10/20/2014,188.13,190.45,188.07,190.3,130010813,42.0829088154871,-2.90818297342773,-0.477516333366206,-2.43066664006152,190.066688481919,0,39.8018166804295,30.7751488394699,201.858347797652,184.908642202348,17.3015567083804,0,0
10/21/2014,191.68,194.2,191.48,194.07,154948579,51.3648826842241,-2.41777865966634,0.0103103843161461,-2.42808904398249,190.794563303388,0,56.7239212400503,42.6092631716787,201.401191711501,184.971798288499,18.889381278447,0,0
10/22/2014,194.41,194.91,192.61,192.69,151822409,48.3126550224,-2.11609119264909,0.249598281066713,-2.36568947371581,191.139188157317,0,66.5391156462586,54.3549511889128,200.519860331754,185.166129668246,18.7100564862029,0,0
10/23/2014,194.62,196.2,194.26,194.93,154944169,53.1763821894776,-1.67692191002706,0.551014050950996,-2.22793596097806,191.828426674169,0,76.3818027210885,66.5482798691324,200.344792504848,185.200197495152,18.4531597493962,0,0
10/24/2014,195.25,196.49,194.49,196.43,117927286,56.1519072507858,-1.19407507139124,0.827088711669455,-2.02116378306069,192.665076369774,0,82.5927523727352,75.1712235800274,200.097325052243,185.300664947757,18.4386503622128,0,0
10/27/2014,195.73,196.45,195.03,196.16,82953689,55.4686201889285,-0.823707034609441,0.957965398761002,-1.78167243337044,193.300517029815,0,91.4185639229423,83.4643730055887,199.870498352803,185.389491647197,18.4347053468056,0,0
10/28/2014,196.82,198.42,196.73,198.41,106735936,59.8528821500697,-0.344658492576855,1.14961115263487,-1.49426964521173,194.229513933485,0,97.2903225806452,90.4338796254409,200.131374343876,185.267615656124,18.8706645853447,0,0
10/29/2014,198.55,199.12,196.8,198.11,142557417,59.018543711136,0.0106605473925754,1.20394415408344,-1.19328360669087,194.93505685467,0,96.3449691991787,95.0179519009221,200.659324520902,185.115665479098,18.1579453334824,0,0
10/30/2014,197.58,199.95,197.4,199.38,113329976,61.4673435302286,0.390233464207455,1.26681365671866,-0.876580192511201,195.743228335639,0,96.9263483471874,96.8538800423371,201.391969186882,184.883020813118,18.2555969242388,0,0
10/31/2014,201.78,201.82,200.77,201.66,146902554,65.4578751498537,0.865052889470292,1.39330646558519,-0.528253576114903,196.819005001886,0,96.8438236894613,96.7050470786091,202.344941825826,184.444048174174,18.2856958646867,0,0
11/03/2014,201.92,202.45,201.305,201.77,93734143,65.6427436012267,1.23597918687599,1.41138621039272,-0.175407023516723,197.719185910634,0,97.5880944235375,97.1194221533954,203.268662776759,184.068327223241,18.2652652121987,0,0
11/04/2014,201.23,201.6,200.06,201.07,93342777,63.3202918529396,1.45666526960835,1.30565783450006,0.151007435108292,198.328424835974,0,96.2993832305385,96.9104337811791,204.182054911012,183.935935088988,17.2593647304118,0,0
11/05/2014,202.54,202.59,201.45,202.34,91708574,65.6919208052709,1.71427783847722,1.25061632269514,0.463661515782076,199.057802138524,0,95.8045768252816,96.5640181597859,205.046057107926,183.641932892074,16.3824207649108,0,0
11/06/2014,202.39,203.26,201.64,203.15,107089076,67.1507752982835,1.96119050253714,1.19802318940405,0.763167313133088,199.801838113338,0,96.5004022526147,96.2014541028116,206.197854483484,183.531135516516,14.3036585512396,0,0
11/07/2014,203.17,203.5999,202.61,203.34,89539712,67.4998784932556,2.1474475413016,1.10742418253481,1.04002335876679,200.445140274549,0,98.5338186703375,96.9462659160779,207.227686663618,183.781303336382,13.3287188825078,0,0
11/10/2014,203.38,204.04,203.13,203.98,66318964,68.7062935807826,2.31995721507658,1.02394708504783,1.29601013002875,201.087842042813,197.564516666667,98.8902914049856,97.9748374426459,207.992754885931,184.673245114069,11.1005902870547,0,0
11/11/2014,204.055,204.31,203.65,204.175,54499375,69.0828675555534,2.44423166358888,0.918577226848104,1.52565443674078,201.649143489574,197.781253825137,98.6461269229968,98.69007899944,208.586066810291,185.727433189709,11.1214696368375,0,0
11/12/2014,203.35,204.24,203.31,203.96,90120295,68.1096929829884,2.4965921954593,0.776750206974819,1.71984198848448,202.069299218742,197.983835666935,98.2587859424921,98.5984014234915,208.700980909151,187.365519090849,10.5429010446834,0,0
11/13/2014,204.16,204.83,203.21,204.19,85357918,68.6189787384052,2.52751178942663,0.646135840753716,1.88137594867291,202.454881178971,198.187316464741,96.2082912032356,97.7044013562415,208.442163473278,189.416336526722,10.4326304476584,0,0
11/14/2014,204.1,204.49,203.72,204.24,80417514,68.7358683864317,2.52692159336769,0.516436515755824,2.01048507761187,202.77944823734,198.385765105241,94.3001443001443,96.2557404819573,208.189480918178,191.246019081822,10.1839329115963,0,0
11/17/2014,203.85,204.58,203.65,204.37,80440954,69.0585745987132,2.50803273214351,0.398038123625311,2.10999460851819,203.068639466915,198.58196952802,93.4824527574237,94.6636294202679,207.929942213032,192.912557786969,10.0237267591401,0,0
11/18/2014,204.44,205.92,204.44,205.55,76068107,71.8943861609007,2.55878325133094,0.359030914250194,2.19975233708074,203.519795927476,198.810429543495,94.2393509127789,94.0073159901156,208.224060050767,193.766439949233,8.11214765777194,0,0
11/19/2014,205.31,205.55,204.3,205.22,82373009,69.9632034936254,2.54306034469624,0.274646406092401,2.26841393860384,203.828923940662,199.020579394528,93.1726907630523,93.6314981444183,207.982563843374,195.260936156626,7.41757177008668,0,0
11/20/2014,204.26,205.71,204.18,205.58,72840326,70.8820898859885,2.53047903215113,0.209652074837834,2.3208269573133,204.147301405996,199.235642365199,93.0335968379449,93.4818795045921,207.942459805286,196.366040194714,6.7308618389214,0,0
11/21/2014,207.64,207.8445,205.98,206.68,142327285,73.5451912769446,2.57953379830923,0.206965472796742,2.37256832551249,204.607792059451,199.479719664701,88.6974800687022,91.6345892232332,208.143594232764,197.189905767236,6.55017364265464,0,0
11/24/2014,207.17,207.39,206.91,207.26,65880759,74.8512534067836,2.63483842936404,0.209816083081241,2.4250223462828,205.090011685006,199.734810823235,89.5753281101852,90.4354683389441,208.17308848065,198.270411519351,6.38511186289794,0,0
11/25/2014,207.54,207.79,206.8,207.11,79108301,73.8359980036891,2.63617580777606,0.168922769194607,2.46725303858145,205.457282287732,199.97662030444,87.8161257880147,88.6963113223007,208.363337165871,198.950162834129,5.61279585353122,0,0
11/26/2014,207.29,207.76,207.03,207.64,62167832,75.1200849171622,2.6494609241071,0.145766308420524,2.50369461568658,205.854140053599,200.227878655115,91.4570891860822,89.616181028094,208.406857697241,199.859642302759,5.44497719194836,0,0
11/28/2014,207.49,207.87,206.91,207.2,57890088,71.9624795215063,2.59457648904902,0.0727054986899511,2.52187099035907,206.098841862035,200.45647279757,90.05500958032,89.7760748514723,208.3991064812,200.6493935188,5.44538479823149,0,0
12/01/2014,206.4,206.54,205.38,205.76,103968354,62.6769972292335,2.40713624518244,-0.0917877961412996,2.49892404132374,206.037234250756,200.630358935354,79.6064095117698,87.0395027593906,208.404987034929,201.053512965071,5.10864025124467,0,0
12/02/2014,205.81,207.34,205.782,207.085,74507192,66.9081392674742,2.33854760688035,-0.128301147554711,2.46684875443506,206.227737114255,200.841986511244,74.6443812233284,81.435266771806,208.542820457681,201.447179542319,5.4509024334108,0,0
12/03/2014,207.3,208.15,207.1,207.89,68951968,69.1931733292204,2.32237647878748,-0.115577820518071,2.43795429930555,206.529966729845,201.073068920712,77.8751753155678,77.3753220168886,208.609680803004,202.062319196996,5.21743282224253,0,0
12/04/2014,207.54,208.265,206.7,207.66,91316591,67.7536431252416,2.26489338436957,-0.13844873194878,2.40334211631835,206.735427324419,201.289033874131,88.392543088287,80.304033209061,208.719523696789,202.484476303211,5.00465292309055,0,0
12/05/2014,207.87,208.47,207.55,208,91025470,68.7874111362377,2.22116852823734,-0.145738870464807,2.36690739870215,206.96534962907,201.509065550389,90.7130434782608,85.6602539607052,208.915550146116,202.773449853883,4.90546792304455,0,0
12/08/2014,207.52,208.12,205.93,206.61,108588152,60.2793335470835,2.05071550957834,-0.252953511299049,2.30366902087739,206.900740605603,201.676309302835,78.6156648451732,85.907083803907,208.86931333482,203.14668666518,5.64651539797841,0,0
12/09/2014,204.37,206.6,203.91,206.47,125180054,59.4813368086936,1.88263162875344,-0.336829913699155,2.2194615424526,206.822424131857,201.833479489628,68.3247988295539,79.2178357176626,208.842711246387,203.422288753613,5.59892888384088,0,0
12/10/2014,205.91,205.98,202.93,203.1601,159856394,44.4867404121598,1.46544988020113,-0.603209329801171,2.06865921000231,206.156547016974,201.876975244066,36.2758860319667,61.0721165688979,208.968901667897,203.194608332102,8.15707169092366,0,0
12/11/2014,203.88,206.19,203.71,204.19,159012805,48.8108514216068,1.20405506432451,-0.691683316542239,1.89573838086675,205.798993013888,201.95281212131,25.8957800511508,43.4988216375571,208.948156998669,203.23835300133,8.36209472078682,0,0
12/12/2014,202.64,203.819,200.85,200.89,202330191,38.4705712471664,0.722289267676729,-0.938759290552014,1.66104855822874,204.906448829544,201.91796582225,8.18235294117635,23.4513396747646,209.4964284854,202.3600815146,10.152953821617,0,0
12/15/2014,201.98,202.53,198.78,199.51,189965750,35.1199901192099,0.226520745885182,-1.14762224987485,1.37414299576003,203.925276315082,201.83901612316,8.88402625820557,14.3207197501776,210.183624486289,201.199885513711,10.3671894925673,0,0
12/16/2014,198.58,202.395,197.86,197.91,259543848,31.67538827608,-0.292118645784967,-1.333009313236,1.04089066745103,202.83158971234,201.710195922401,2.93696275071621,6.66778065003269,210.983139240669,199.754370759331,10.6208334034934,0,0
12/17/2014,198.44,202.34,198.29,201.79,253910092,45.6075802630805,-0.385615392583134,-1.14120484802733,0.755589455444198,202.642209764641,201.712812449535,15.237787123908,9.01959204427657,211.00611867293,199.35539132707,12.7586624118978,0,0
12/18/2014,204.74,212.97,203.92,206.78,257633887,57.5861179974582,-0.0564106740622208,-0.649600103605135,0.593189429542914,203.394535261979,201.878949746272,35.5078447563996,17.8941982103412,211.125758903341,199.391751096659,15.5931050047434,0,0
12/19/2014,206.43,207.33,205.6109,206.52,245084590,56.8831963735109,0.181415366648622,-0.329419250315434,0.510834616964056,203.962801577983,202.031115328361,52.6818515797208,34.4758278200094,211.197308863105,199.414201136894,15.5945363306793,0,0
12/22/2014,206.75,207.47,206.46,207.47,148318934,58.859239232591,0.441462374423224,-0.055497794032665,0.496960168455889,204.60047401835,202.209439415956,59.9823516435032,49.3906826598745,211.283541566163,199.406968433837,15.5644283262031,0,0
12/23/2014,208.17,208.23,207.3991,207.75,122167931,59.4491266380009,0.662508179666304,0.132438408968332,0.530069770697972,205.173115105923,202.391097140023,62.1222148687403,58.2621393639881,211.343376712322,199.396133287678,15.5407074772541,0,0
12/24/2014,208.02,208.34,207.72,207.77,42963399,59.4938027043047,0.829737705943188,0.239734348196173,0.590003357747016,205.645275995755,202.567454610842,64.8797705713655,62.328112361203,211.421587531472,199.383922468528,15.5375524550118,0,0
12/26/2014,208.31,208.85,208.25,208.44,57326703,61.042255635314,1.00474958315789,0.331796980328698,0.67295260282919,206.15340763289,202.759997082618,67.0196337966027,64.6738730789028,211.53076480961,199.35474519039,15.5528502293552,0,0
12/29/2014,208.22,208.97,208.14,208.72,79643948,61.7011714588139,1.15275319541266,0.383840474066774,0.768912721345884,206.620060790547,202.955407014335,69.1594970218398,67.0196337966027,211.729330207012,199.308179792988,15.5331757306745,0,0
12/30/2014,208.21,208.37,207.51,207.6,73540761,57.511000602116,1.16622892358475,0.317852961791096,0.848375961793658,206.798231555902,203.10768875157,68.7844694462828,68.3212000882417,211.887064801305,199.334445198695,15.4437047705922,0,0
12/31/2014,207.99,208.19,205.39,205.54,130333829,50.6921259288513,0.999165987838296,0.120632020835711,0.878533967002585,206.569462182101,203.187436661355,62.3869402161923,66.7769688947716,211.773257884681,199.293752115319,15.6957326242609,0,0
01/02/2015,206.38,206.88,204.18,205.43,121465865,50.3488357606004,0.848114787605709,-0.0243353435175008,0.87245013112321,206.362287239901,203.260963328195,55.1290536068828,62.1001544231193,211.555871464414,199.265138535586,15.6153715080496,0,0
01/05/2015,204.17,204.37,201.35,201.72,169632646,40.4092633539621,0.42415028841944,-0.358639874163016,0.782790162582456,205.518235014465,203.210439940386,42.1575115817339,53.224501801603,211.368472055222,198.858537944778,16.8204713188595,0,0
01/06/2015,202.09,202.72,198.855,199.82,209151408,36.4415566273611,-0.0644162028338542,-0.677765092333048,0.613348889499194,204.482192284562,203.099277975127,29.538936686521,42.2751672917125,211.215523140193,198.193486859807,17.0099046271271,0,0
01/07/2015,201.42,202.72,200.88,202.31,125346709,44.177266274435,-0.247829650934449,-0.688942832346914,0.441113181412465,204.087248232823,203.07340000873,21.9153674832962,31.2039385838503,211.01859420309,197.96041579691,17.6456558993174,0,0
01/08/2015,204.01,206.16,203.99,205.9,147217784,53.0497395334686,-0.102323609976992,-0.434749433111566,0.332425823134574,204.416839463219,203.166075418279,29.6663250199294,27.0402097299155,210.960172943816,197.961837056184,18.842812243502,0,0
01/09/2015,206.4,206.42,203.51,204.25,158567288,49.180705650117,-0.118781001135943,-0.360965459416414,0.242184458280471,204.386505015361,203.201613929156,42.3027499357492,31.2948141463249,210.988346282744,198.042653717256,18.1373343501423,0,0
01/12/2015,204.41,204.6,201.92,202.65,144396067,45.7000826589021,-0.257956666560943,-0.400112899873131,0.142156233312188,204.07077683075,203.18352822656,47.2703450283885,39.7464733280223,210.961448029844,197.915551970156,18.2637921381211,0,0
01/13/2015,204.12,205.48,200.51,202.08,214553306,44.4920350342217,-0.409527838428801,-0.441347257392791,0.0318194189639901,203.708817406977,203.14734697323,40.9128357225244,43.4953102288874,210.911175812342,198.084824187658,17.3116019848881,0,0
01/14/2015,199.65,201.1,198.57,200.86,192991092,41.9367935468991,-0.620935134468567,-0.522203642746046,-0.0987314917225214,203.190850605709,203.072351990502,30.3950375448908,39.5260727652679,210.792985768756,198.338014231244,17.2681426053652,0,0
01/15/2015,201.63,202.01,198.88,199.0199,176613906,38.3584878797711,-0.926280051485833,-0.662038847810649,-0.264241203675184,202.432495950125,202.939484712124,19.2945172246484,30.2007968306879,210.626064528486,198.615925471514,17.3466736521284,0,0
01/16/2015,198.77,201.82,198.55,201.63,211879605,45.4664686027158,-0.946741396140538,-0.546000153972284,-0.400741242168255,202.286587595557,202.896550787137,18.6415759128764,22.7770435608052,210.633535484203,198.592454515797,16.5450858411793,0,0
01/20/2015,202.4,202.72,200.17,202.055,130991069,46.547302730494,-0.91808015453222,-0.413871129891172,-0.504209024641048,202.244480760001,202.86895895805,22.9598563968668,20.2986498447972,210.409417461022,198.344072538978,13.8553372702019,0,0
01/21/2015,201.5,203.66,200.94,203.08,122942707,49.1641887357343,-0.803395932137875,-0.239349525997462,-0.564046406140413,202.396393349092,202.875878336475,37.1987951807229,26.266742496822,210.1790568551,198.2304331449,14.0288770082901,0,0
01/22/2015,203.99,206.26,202.33,206.1,174356029,55.999258284771,-0.463476431035332,0.080455980084065,-0.543932411119397,203.06977637653,202.981587243476,56.0813242173444,38.7466585983113,209.989419643043,198.283070356957,14.9795363429137,0,0
01/23/2015,205.79,206.1,204.81,204.97,117516753,53.1212147376769,-0.282018401042905,0.209531208061194,-0.491549609104098,203.415271580797,203.046781104345,71.5944272445821,54.9581822142164,209.628368674893,198.366121325107,15.0741646178655,0,0
01/26/2015,204.71,205.56,203.85,205.45,92009711,54.1980433696103,-0.0983459456238336,0.314562930784212,-0.412908876408045,203.78522220247,203.125575166498,86.7054424594932,71.4603979738065,209.287823696549,198.474666303451,15.1101925800123,0,0
01/27/2015,202.97,204.12,201.74,202.74,134044598,47.5561799117144,-0.169504609376702,0.194723413625075,-0.364228023001777,203.595181802021,203.11293335776,74.1634900465905,77.4877865835552,208.597268075528,198.595221924472,15.6842427494673,0,0
01/28/2015,204.17,204.29,199.91,200.14,168514312,42.2114545584451,-0.430731430158858,-0.0532027257256648,-0.377528704433193,202.966966928926,203.015460132916,53.706056755612,71.5249964205652,207.794622296263,198.539867703737,16.1618403273552,0,0
01/29/2015,200.38,202.3,198.68,201.9902,173585424,46.7940220897408,-0.482893395955017,-0.0842917532174593,-0.398601642737558,202.789372941849,202.981845046591,39.0520965692502,55.6405477904842,207.063493642766,198.710016357234,16.5906284009621,0,0
01/30/2015,200.57,202.17,199.13,199.45,197729724,41.8833347701651,-0.720895011368498,-0.257834694904752,-0.463060316463746,202.182214225149,202.866046848342,25.2886993603409,39.3489508950677,206.828262521179,198.33624747882,16.8003278484125,0,0
02/02/2015,200.05,202.03,197.86,201.92,163106969,47.6375438843989,-0.70211114867115,-0.191240665765924,-0.510870482905227,202.134538911486,202.835028918888,35.0300250208505,33.1236069834805,206.452884618523,198.360625381477,17.4996834073526,0,0
02/03/2015,203,204.85,202.55,204.84,124212881,53.4991475521099,-0.446458707541638,0.0515294202908713,-0.497988127832509,202.626440927579,202.900765675646,48.7148102815176,36.3445115542363,206.729724000354,198.395785999646,17.0293661087315,0,0
02/04/2015,203.92,205.38,203.51,204.06,134306728,51.830076870757,-0.303295584633418,0.155754034559273,-0.459049619192691,202.887088031656,202.938773358411,68.4126984126984,50.7191779050222,206.79068106629,198.75882893371,16.6953485242243,0,0
02/05/2015,204.86,206.3,204.77,206.12,97953181,55.7559813957846,-0.0233439004787215,0.348564574971175,-0.371908475449897,203.474890207718,203.04307587125,84.9445324881141,67.3573470607767,207.228755269722,198.701754730278,16.5049973108605,0,0
02/06/2015,206.56,207.24,204.92,205.55,125672026,54.4339970142612,0.150787406485534,0.418156705548345,-0.267369299062811,203.852182897224,203.12527010498,84.4774980930587,79.2782429979571,207.165555996955,198.729954003045,15.324369695473,0,0
02/09/2015,204.77,205.64,204.135,204.63,87219016,52.2794140287609,0.212106380243995,0.383580543445444,-0.171474163201449,203.993604188638,203.174605511374,83.5294117647058,84.3171474486262,207.211189295631,198.722320704369,15.130728311067,0,0
02/10/2015,205.88,207.12,204.6801,206.81,96164183,56.6572804690784,0.431634278428049,0.482486753303599,-0.0508524748755497,204.50567615434,203.293798773296,83.1911869225301,83.7326989267649,207.732847382774,198.616662617226,15.2610256601649,0,0
02/11/2015,206.61,207.45,205.83,206.93,91087785,56.8917178670764,0.608282810869383,0.527308228595946,0.0809745822734369,204.946462308096,203.413018485647,87.4426807760141,84.7210931544166,208.225753359153,198.608756640847,15.1956317270704,0,0
