Date,Open,High,Low,Close,Volume,Relative Strength Index - RSI - RSI(14),"MACD - MACD(12,26,9)",MACD - Histogram,"MACD - Signal Line(MACD(12,26,9),9,Modern)","Exponential Moving Average - EMA - EMA(10,Modern)","Exponential Moving Average - EMA - EMA(60,Modern)","Slow %K - SS %K(14,3)",Slow %D - SS %D(3),"BOLLINGER BAND ? - BB - BBUpper(20,2)","BOLLINGER BAND ? - BB - BBLower(20,2)","Historical Volatility - HV - HV(Close,20,251)",Volatility (HVs & IVs) - VOL - hv360,Volatility (HVs & IVs) - VOL - iv360
08/18/2014,196.8,197.45,196.69,197.36,75424360,0,0,0,0,0,0,0,0,0,0,0,0,0
08/19/2014,197.84,198.54,197.4426,198.39,59134709,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2014,198.12,199.16,198.08,198.92,72762541,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2014,199.09,199.76,198.93,199.5,67790690,0,0,0,0,0,0,0,0,0,0,0,0,0
08/22/2014,199.34,199.69,198.74,199.19,76107359,0,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2014,200.14,200.5949,199.1502,200.2,63855022,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2014,200.33,200.82,200.28,200.33,47298324,0,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2014,200.43,200.57,199.94,200.25,47873708,0,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2014,199.59,200.27,199.39,200.14,58330373,0,0,0,0,0,0,0,0,0,0,0,0,0
08/29/2014,200.45,200.73,199.82,200.71,65906598,0,0,0,0,199.499,0,0,0,0,0,0,0,0
09-02-14,200.97,200.995,199.86,200.61,72425793,0,0,0,0,199.701,0,0,0,0,0,0,0,0
09-03-14,201.38,201.41,200.22,200.5,57461742,0,0,0,0,199.8462727,0,0,0,0,0,0,0,0
09-04-14,200.84,201.58,199.66,200.2101,85236442,0,0,0,0,199.9124231,0,0,0,0,0,0,0,0
09-05-14,200.17,201.19,199.41,201.11,102176784,0,0,0,0,200.1301644,0,0,0,0,0,0,0,0
09-08-14,200.92,201.21,200,200.59,64145745,75.7583974,0,0,0,200.2137709,0,0,0,0,0,0,0,0
09-09-14,200.41,200.55,198.91,199.32,88590876,62.19187933,0,0,0,200.0512671,0,0,0,0,0,0,0,0
09-10-14,199.43,200.2,198.77,200.07,67251103,66.05753545,0,0,0,200.0546731,0,0,0,0,0,0,0,0
09-11-14,199.27,200.33,199.12,200.3,66823558,67.16622561,0,0,0,200.099278,0,44.98910675,14.99636892,0,0,0,0,0
09-12-14,200.1,200.12,198.56,199.13,117478516,56.97166643,0,0,0,199.9230456,0,39.77011494,28.2530739,0,0,0,0,0
09/15/2014,199.16,199.32,198.38,198.981,76401421,55.80991305,0,0,0,199.7517646,0,30.14348786,38.30090319,201.5844869,197.9966231,0,0,0
09/16/2014,198.61,200.84,198.5,200.48,116200722,63.80621327,0,0,0,199.884171,0,34.72399151,34.8791981,201.3728772,198.5202328,5.675048112,0,0
09/17/2014,200.77,201.68,199.75,200.75,151265896,65.03354689,0,0,0,200.0415945,0,52.27835052,39.04860996,201.3386159,198.7904941,5.437586063,0,0
09/18/2014,201.36,201.85,201.1,201.82,94990300,69.45418553,0,0,0,200.3649409,0,79.33801404,55.44678536,201.5855809,198.8335291,5.648019916,0,0
09/19/2014,201.52,201.899,200.29,200.7,121649147,60.79075496,0,0,0,200.4258608,0,79.01642531,70.21092996,201.6210212,198.9180888,6.001462499,0,0
09/22/2014,200.35,200.38,198.73,199.15,125552758,51.26108927,0,0,0,200.1938861,0,62.14312904,73.49918947,201.6255086,198.9096014,6.623894101,0,0
09/23/2014,198.43,199.26,197.95,198.01,111393319,45.5992717,-0.047248958,0,0,199.7968159,0,28.67024666,56.60993367,201.8356947,198.4804153,6.637130309,0,0
09/24/2014,198.04,199.69,197.52,199.56,107275635,53.17249242,-0.065019423,0,0,199.7537584,0,24.22554233,38.34630601,201.8148918,198.4242182,7.261470619,0,0
09/25/2014,199.04,199.05,196.27,196.34,150300028,40.54489036,-0.335067287,0,0,199.1330751,0,15.54775382,22.81451427,202.2851755,197.5629345,9.230113576,0,0
09/26/2014,196.7,198.39,196.42,197.9,103546740,47.099503,-0.418380373,0,0,198.9088796,0,23.91763126,21.23030914,202.3289474,197.2951626,9.755029855,0,0
09/29/2014,196.2,197.89,196.05,197.54,95111605,45.84347882,-0.50760424,0,0,198.6599924,0,18.64733735,19.37090747,202.3191589,196.9879511,9.679502128,0,0
09/30/2014,197.69,198.3,196.61,197.02,131302082,44.01751277,-0.613205797,0,0,198.361812,0,23.60477867,22.05658243,202.3342522,196.6138578,9.700415554,0,0
10-01-14,196.7,196.77,193.91,194.35,177797862,36.07265925,-0.901945412,0,0,197.6323916,0,14.73053284,18.99421629,202.750293,195.582817,10.69561012,0,0
10-02-14,194.18,195.055,192.35,194.38,157285182,36.21197309,-1.115494166,0,0,197.0410477,0,14.70902638,17.68144596,202.9820808,194.7680192,10.71282992,0,0
10-03-14,195.68,196.94,195.08,196.52,121568769,45.35942373,-1.099380008,-0.532341601,-0.567038407,196.9463117,0,24.51360431,17.98438784,202.7403361,194.5507639,11.41021044,0,0
10-06-14,197.34,197.6,195.582,196.29,104778335,44.61883369,-1.092573987,-0.420428464,-0.672145523,196.8269823,0,35.39637658,24.87300243,202.5458773,194.3152227,11.39770911,0,0
10-07-14,195.28,195.72,193.22,193.26,147913498,36.22723037,-1.31650005,-0.515483622,-0.801016429,196.1784401,0,31.48671763,30.46556618,202.7920303,193.4630697,12.38364386,0,0
10-08-14,193.37,196.92,192.36,196.64,186461453,47.98034463,-1.207308219,-0.325033432,-0.882274787,196.2623601,0,31.90560966,32.92956796,202.5742386,193.3378614,13.98303548,0,0
10-09-14,196.33,196.6,192.58,192.74,210704601,39.03990254,-1.419111676,-0.429469512,-0.989642165,195.621931,0,20.60601592,27.99944774,202.5879148,192.5681852,15.51008319,0,0
10-10-14,192.69,193.65,190.49,190.54,221908954,35.07004673,-1.744380919,-0.603791003,-1.140589915,194.6979435,0,17.66309422,23.39157327,202.9611212,191.3359788,15.82317671,0,0
10/13/2014,190.46,191.15,187.3,187.4099,230938833,30.34248348,-2.229037095,-0.870757744,-1.358279351,193.3728447,0,1.856515868,13.37520867,203.6934609,189.4465291,16.60357827,0,0
10/14/2014,188.42,189.82,187.04,187.7,215846527,31.26726434,-2.56020946,-0.961544087,-1.598665373,192.3414184,0,2.440178571,7.319929552,203.7915431,188.0704469,16.23586801,0,0
10/15/2014,185.16,187.694,181.92,186.43,380714600,29.42549476,-2.891809354,-1.034515184,-1.857294169,191.266615,0,12.91876682,5.738487087,203.767586,186.662404,16.18447338,0,0
10/16/2014,183.06,187.58,182.89,186.27,270391490,29.19219563,-3.13141828,-1.019299289,-2.112118991,190.3581396,0,21.22157824,12.19350788,203.2696044,185.6053856,15.87492621,0,0
10/17/2014,188.42,189.75,187.62,188.47,214624921,36.63177323,-3.107961818,-0.796674261,-2.311287557,190.0148415,0,31.30205159,21.81413222,202.5316732,185.1203168,16.80737125,0,0
10/20/2014,188.13,190.45,188.07,190.3,130010813,42.08290882,-2.908182973,-0.477516333,-2.43066664,190.0666885,0,39.80181668,30.77514884,201.8583478,184.9086422,17.30155671,0,0
10/21/2014,191.68,194.2,191.48,194.07,154948579,51.36488268,-2.41777866,0.010310384,-2.428089044,190.7945633,0,56.72392124,42.60926317,201.4011917,184.9717983,18.88938128,0,0
10/22/2014,194.41,194.91,192.61,192.69,151822409,48.31265502,-2.116091193,0.249598281,-2.365689474,191.1391882,0,66.53911565,54.35495119,200.5198603,185.1661297,18.71005649,0,0
10/23/2014,194.62,196.2,194.26,194.93,154944169,53.17638219,-1.67692191,0.551014051,-2.227935961,191.8284267,0,76.38180272,66.54827987,200.3447925,185.2001975,18.45315975,0,0
10/24/2014,195.25,196.49,194.49,196.43,117927286,56.15190725,-1.194075071,0.827088712,-2.021163783,192.6650764,0,82.59275237,75.17122358,200.0973251,185.3006649,18.43865036,0,0
10/27/2014,195.73,196.45,195.03,196.16,82953689,55.46862019,-0.823707035,0.957965399,-1.781672433,193.300517,0,91.41856392,83.46437301,199.8704984,185.3894916,18.43470535,0,0
10/28/2014,196.82,198.42,196.73,198.41,106735936,59.85288215,-0.344658493,1.149611153,-1.494269645,194.2295139,0,97.29032258,90.43387963,200.1313743,185.2676157,18.87066459,0,0
10/29/2014,198.55,199.12,196.8,198.11,142557417,59.01854371,0.010660547,1.203944154,-1.193283607,194.9350569,0,96.3449692,95.0179519,200.6593245,185.1156655,18.15794533,0,0
10/30/2014,197.58,199.95,197.4,199.38,113329976,61.46734353,0.390233464,1.266813657,-0.876580193,195.7432283,0,96.92634835,96.85388004,201.3919692,184.8830208,18.25559692,0,0
10/31/2014,201.78,201.82,200.77,201.66,146902554,65.45787515,0.865052889,1.393306466,-0.528253576,196.819005,0,96.84382369,96.70504708,202.3449418,184.4440482,18.28569586,0,0
11-03-14,201.92,202.45,201.305,201.77,93734143,65.6427436,1.235979187,1.41138621,-0.175407024,197.7191859,0,97.58809442,97.11942215,203.2686628,184.0683272,18.26526521,0,0
11-04-14,201.23,201.6,200.06,201.07,93342777,63.32029185,1.45666527,1.305657835,0.151007435,198.3284248,0,96.29938323,96.91043378,204.1820549,183.9359351,17.25936473,0,0
11-05-14,202.54,202.59,201.45,202.34,91708574,65.69192081,1.714277838,1.250616323,0.463661516,199.0578021,0,95.80457683,96.56401816,205.0460571,183.6419329,16.38242076,0,0
11-06-14,202.39,203.26,201.64,203.15,107089076,67.1507753,1.961190503,1.198023189,0.763167313,199.8018381,0,96.50040225,96.2014541,206.1978545,183.5311355,14.30365855,0,0
11-07-14,203.17,203.5999,202.61,203.34,89539712,67.49987849,2.147447541,1.107424183,1.040023359,200.4451403,0,98.53381867,96.94626592,207.2276867,183.7813033,13.32871888,0,0
11-10-14,203.38,204.04,203.13,203.98,66318964,68.70629358,2.319957215,1.023947085,1.29601013,201.087842,197.5645167,98.8902914,97.97483744,207.9927549,184.6732451,11.10059029,0,0
11-11-14,204.055,204.31,203.65,204.175,54499375,69.08286756,2.444231664,0.918577227,1.525654437,201.6491435,197.7812538,98.64612692,98.690079,208.5860668,185.7274332,11.12146964,0,0
11-12-14,203.35,204.24,203.31,203.96,90120295,68.10969298,2.496592195,0.776750207,1.719841988,202.0692992,197.9838357,98.25878594,98.59840142,208.7009809,187.3655191,10.54290104,0,0
11/13/2014,204.16,204.83,203.21,204.19,85357918,68.61897874,2.527511789,0.646135841,1.881375949,202.4548812,198.1873165,96.2082912,97.70440136,208.4421635,189.4163365,10.43263045,0,0
11/14/2014,204.1,204.49,203.72,204.24,80417514,68.73586839,2.526921593,0.516436516,2.010485078,202.7794482,198.3857651,94.3001443,96.25574048,208.1894809,191.2460191,10.18393291,0,0
11/17/2014,203.85,204.58,203.65,204.37,80440954,69.0585746,2.508032732,0.398038124,2.109994609,203.0686395,198.5819695,93.48245276,94.66362942,207.9299422,192.9125578,10.02372676,0,0
11/18/2014,204.44,205.92,204.44,205.55,76068107,71.89438616,2.558783251,0.359030914,2.199752337,203.5197959,198.8104295,94.23935091,94.00731599,208.2240601,193.7664399,8.112147658,0,0
11/19/2014,205.31,205.55,204.3,205.22,82373009,69.96320349,2.543060345,0.274646406,2.268413939,203.8289239,199.0205794,93.17269076,93.63149814,207.9825638,195.2609362,7.41757177,0,0
11/20/2014,204.26,205.71,204.18,205.58,72840326,70.88208989,2.530479032,0.209652075,2.320826957,204.1473014,199.2356424,93.03359684,93.4818795,207.9424598,196.3660402,6.730861839,0,0
11/21/2014,207.64,207.8445,205.98,206.68,142327285,73.54519128,2.579533798,0.206965473,2.372568326,204.6077921,199.4797197,88.69748007,91.63458922,208.1435942,197.1899058,6.550173643,0,0
11/24/2014,207.17,207.39,206.91,207.26,65880759,74.85125341,2.634838429,0.209816083,2.425022346,205.0900117,199.7348108,89.57532811,90.43546834,208.1730885,198.2704115,6.385111863,0,0
11/25/2014,207.54,207.79,206.8,207.11,79108301,73.835998,2.636175808,0.168922769,2.467253039,205.4572823,199.9766203,87.81612579,88.69631132,208.3633372,198.9501628,5.612795854,0,0
11/26/2014,207.29,207.76,207.03,207.64,62167832,75.12008492,2.649460924,0.145766308,2.503694616,205.8541401,200.2278787,91.45708919,89.61618103,208.4068577,199.8596423,5.444977192,0,0
11/28/2014,207.49,207.87,206.91,207.2,57890088,71.96247952,2.594576489,0.072705499,2.52187099,206.0988419,200.4564728,90.05500958,89.77607485,208.3991065,200.6493935,5.445384798,0,0
12-01-14,206.4,206.54,205.38,205.76,103968354,62.67699723,2.407136245,-0.091787796,2.498924041,206.0372343,200.6303589,79.60640951,87.03950276,208.404987,201.053513,5.108640251,0,0
12-02-14,205.81,207.34,205.782,207.085,74507192,66.90813927,2.338547607,-0.128301148,2.466848754,206.2277371,200.8419865,74.64438122,81.43526677,208.5428205,201.4471795,5.450902433,0,0
12-03-14,207.3,208.15,207.1,207.89,68951968,69.19317333,2.322376479,-0.115577821,2.437954299,206.5299667,201.0730689,77.87517532,77.37532202,208.6096808,202.0623192,5.217432822,0,0
12-04-14,207.54,208.265,206.7,207.66,91316591,67.75364313,2.264893384,-0.138448732,2.403342116,206.7354273,201.2890339,88.39254309,80.30403321,208.7195237,202.4844763,5.004652923,0,0
12-05-14,207.87,208.47,207.55,208,91025470,68.78741114,2.221168528,-0.14573887,2.366907399,206.9653496,201.5090656,90.71304348,85.66025396,208.9155501,202.7734499,4.905467923,0,0
12-08-14,207.52,208.12,205.93,206.61,108588152,60.27933355,2.05071551,-0.252953511,2.303669021,206.9007406,201.6763093,78.61566485,85.9070838,208.8693133,203.1466867,5.646515398,0,0
12-09-14,204.37,206.6,203.91,206.47,125180054,59.48133681,1.882631629,-0.336829914,2.219461542,206.8224241,201.8334795,68.32479883,79.21783572,208.8427112,203.4222888,5.598928884,0,0
12-10-14,205.91,205.98,202.93,203.1601,159856394,44.48674041,1.46544988,-0.60320933,2.06865921,206.156547,201.8769752,36.27588603,61.07211657,208.9689017,203.1946083,8.157071691,0,0
12-11-14,203.88,206.19,203.71,204.19,159012805,48.81085142,1.204055064,-0.691683317,1.895738381,205.798993,201.9528121,25.89578005,43.49882164,208.948157,203.238353,8.362094721,0,0
12-12-14,202.64,203.819,200.85,200.89,202330191,38.47057125,0.722289268,-0.938759291,1.661048558,204.9064488,201.9179658,8.182352941,23.45133967,209.4964285,202.3600815,10.15295382,0,0
12/15/2014,201.98,202.53,198.78,199.51,189965750,35.11999012,0.226520746,-1.14762225,1.374142996,203.9252763,201.8390161,8.884026258,14.32071975,210.1836245,201.1998855,10.36718949,0,0
12/16/2014,198.58,202.395,197.86,197.91,259543848,31.67538828,-0.292118646,-1.333009313,1.040890667,202.8315897,201.7101959,2.936962751,6.66778065,210.9831392,199.7543708,10.6208334,0,0
12/17/2014,198.44,202.34,198.29,201.79,253910092,45.60758026,-0.385615393,-1.141204848,0.755589455,202.6422098,201.7128124,15.23778712,9.019592044,211.0061187,199.3553913,12.75866241,0,0
12/18/2014,204.74,212.97,203.92,206.78,257633887,57.586118,-0.056410674,-0.649600104,0.59318943,203.3945353,201.8789497,35.50784476,17.89419821,211.1257589,199.3917511,15.593105,0,0
12/19/2014,206.43,207.33,205.6109,206.52,245084590,56.88319637,0.181415367,-0.32941925,0.510834617,203.9628016,202.0311153,52.68185158,34.47582782,211.1973089,199.4142011,15.59453633,0,0
12/22/2014,206.75,207.47,206.46,207.47,148318934,58.85923923,0.441462374,-0.055497794,0.496960168,204.600474,202.2094394,59.98235164,49.39068266,211.2835416,199.4069684,15.56442833,0,0
12/23/2014,208.17,208.23,207.3991,207.75,122167931,59.44912664,0.66250818,0.132438409,0.530069771,205.1731151,202.3910971,62.12221487,58.26213936,211.3433767,199.3961333,15.54070748,0,0
12/24/2014,208.02,208.34,207.72,207.77,42963399,59.4938027,0.829737706,0.239734348,0.590003358,205.645276,202.5674546,64.87977057,62.32811236,211.4215875,199.3839225,15.53755246,0,0
12/26/2014,208.31,208.85,208.25,208.44,57326703,61.04225564,1.004749583,0.33179698,0.672952603,206.1534076,202.7599971,67.0196338,64.67387308,211.5307648,199.3547452,15.55285023,0,0
12/29/2014,208.22,208.97,208.14,208.72,79643948,61.70117146,1.152753195,0.383840474,0.768912721,206.6200608,202.955407,69.15949702,67.0196338,211.7293302,199.3081798,15.53317573,0,0
12/30/2014,208.21,208.37,207.51,207.6,73540761,57.5110006,1.166228924,0.317852962,0.848375962,206.7982316,203.1076888,68.78446945,68.32120009,211.8870648,199.3344452,15.44370477,0,0
12/31/2014,207.99,208.19,205.39,205.54,130333829,50.69212593,0.999165988,0.120632021,0.878533967,206.5694622,203.1874367,62.38694022,66.77696889,211.7732579,199.2937521,15.69573262,0,0
01-02-15,206.38,206.88,204.18,205.43,121465865,50.34883576,0.848114788,-0.024335344,0.872450131,206.3622872,203.2609633,55.12905361,62.10015442,211.5558715,199.2651385,15.61537151,0,0
01-05-15,204.17,204.37,201.35,201.72,169632646,40.40926335,0.424150288,-0.358639874,0.782790163,205.518235,203.2104399,42.15751158,53.2245018,211.3684721,198.8585379,16.82047132,0,0
01-06-15,202.09,202.72,198.855,199.82,209151408,36.44155663,-0.064416203,-0.677765092,0.613348889,204.4821923,203.099278,29.53893669,42.27516729,211.2155231,198.1934869,17.00990463,0,0
01-07-15,201.42,202.72,200.88,202.31,125346709,44.17726627,-0.247829651,-0.688942832,0.441113181,204.0872482,203.0734,21.91536748,31.20393858,211.0185942,197.9604158,17.6456559,0,0
01-08-15,204.01,206.16,203.99,205.9,147217784,53.04973953,-0.10232361,-0.434749433,0.332425823,204.4168395,203.1660754,29.66632502,27.04020973,210.9601729,197.9618371,18.84281224,0,0
01-09-15,206.4,206.42,203.51,204.25,158567288,49.18070565,-0.118781001,-0.360965459,0.242184458,204.386505,203.2016139,42.30274994,31.29481415,210.9883463,198.0426537,18.13733435,0,0
01-12-15,204.41,204.6,201.92,202.65,144396067,45.70008266,-0.257956667,-0.4001129,0.142156233,204.0707768,203.1835282,47.27034503,39.74647333,210.961448,197.915552,18.26379214,0,0
01/13/2015,204.12,205.48,200.51,202.08,214553306,44.49203503,-0.409527838,-0.441347257,0.031819419,203.7088174,203.147347,40.91283572,43.49531023,210.9111758,198.0848242,17.31160198,0,0
01/14/2015,199.65,201.1,198.57,200.86,192991092,41.93679355,-0.620935134,-0.522203643,-0.098731492,203.1908506,203.072352,30.39503754,39.52607277,210.7929858,198.3380142,17.26814261,0,0
01/15/2015,201.63,202.01,198.88,199.0199,176613906,38.35848788,-0.926280051,-0.662038848,-0.264241204,202.432496,202.9394847,19.29451722,30.20079683,210.6260645,198.6159255,17.34667365,0,0
01/16/2015,198.77,201.82,198.55,201.63,211879605,45.4664686,-0.946741396,-0.546000154,-0.400741242,202.2865876,202.8965508,18.64157591,22.77704356,210.6335355,198.5924545,16.54508584,0,0
01/20/2015,202.4,202.72,200.17,202.055,130991069,46.54730273,-0.918080155,-0.41387113,-0.504209025,202.2444808,202.868959,22.9598564,20.29864984,210.4094175,198.3440725,13.85533727,0,0
01/21/2015,201.5,203.66,200.94,203.08,122942707,49.16418874,-0.803395932,-0.239349526,-0.564046406,202.3963933,202.8758783,37.19879518,26.2667425,210.1790569,198.2304331,14.02887701,0,0
01/22/2015,203.99,206.26,202.33,206.1,174356029,55.99925828,-0.463476431,0.08045598,-0.543932411,203.0697764,202.9815872,56.08132422,38.7466586,209.9894196,198.2830704,14.97953634,0,0
01/23/2015,205.79,206.1,204.81,204.97,117516753,53.12121474,-0.282018401,0.209531208,-0.491549609,203.4152716,203.0467811,71.59442724,54.95818221,209.6283687,198.3661213,15.07416462,0,0
01/26/2015,204.71,205.56,203.85,205.45,92009711,54.19804337,-0.098345946,0.314562931,-0.412908876,203.7852222,203.1255752,86.70544246,71.46039797,209.2878237,198.4746663,15.11019258,0,0
01/27/2015,202.97,204.12,201.74,202.74,134044598,47.55617991,-0.169504609,0.194723414,-0.364228023,203.5951818,203.1129334,74.16349005,77.48778658,208.5972681,198.5952219,15.68424275,0,0
01/28/2015,204.17,204.29,199.91,200.14,168514312,42.21145456,-0.43073143,-0.053202726,-0.377528704,202.9669669,203.0154601,53.70605676,71.52499642,207.7946223,198.5398677,16.16184033,0,0
01/29/2015,200.38,202.3,198.68,201.9902,173585424,46.79402209,-0.482893396,-0.084291753,-0.398601643,202.7893729,202.981845,39.05209657,55.64054779,207.0634936,198.7100164,16.5906284,0,0
01/30/2015,200.57,202.17,199.13,199.45,197729724,41.88333477,-0.720895011,-0.257834695,-0.463060316,202.1822142,202.8660468,25.28869936,39.3489509,206.8282625,198.3362475,16.80032785,0,0
02-02-15,200.05,202.03,197.86,201.92,163106969,47.63754388,-0.702111149,-0.191240666,-0.510870483,202.1345389,202.8350289,35.03002502,33.12360698,206.4528846,198.3606254,17.49968341,0,0
02-03-15,203,204.85,202.55,204.84,124212881,53.49914755,-0.446458708,0.05152942,-0.497988128,202.6264409,202.9007657,48.71481028,36.34451155,206.729724,198.395786,17.02936611,0,0
02-04-15,203.92,205.38,203.51,204.06,134306728,51.83007687,-0.303295585,0.155754035,-0.459049619,202.887088,202.9387734,68.41269841,50.71917791,206.7906811,198.7588289,16.69534852,0,0
02-05-15,204.86,206.3,204.77,206.12,97953181,55.7559814,-0.0233439,0.348564575,-0.371908475,203.4748902,203.0430759,84.94453249,67.35734706,207.2287553,198.7017547,16.50499731,0,0
02-06-15,206.56,207.24,204.92,205.55,125672026,54.43399701,0.150787406,0.418156706,-0.267369299,203.8521829,203.1252701,84.47749809,79.278243,207.165556,198.729954,15.3243697,0,0
02-09-15,204.77,205.64,204.135,204.63,87219016,52.27941403,0.21210638,0.383580543,-0.171474163,203.9936042,203.1746055,83.52941176,84.31714745,207.2111893,198.7223207,15.13072831,0,0
02-10-15,205.88,207.12,204.6801,206.81,96164183,56.65728047,0.431634278,0.482486753,-0.050852475,204.5056762,203.2937988,83.19118692,83.73269893,207.7328474,198.6166626,15.26102566,0,0
02-11-15,206.61,207.45,205.83,206.93,91087785,56.89171787,0.608282811,0.527308229,0.080974582,204.9464623,203.4130185,87.44268078,84.72109315,208.2257534,198.6087566,15.19563173,0,0
02-12-15,207.89,208.99,206.9727,208.92,97545949,60.68906757,0.898497099,0.654018013,0.244479086,205.6689237,203.5935753,96.61129568,89.08172113,209.0375484,198.6029616,15.22022186,0,0
02/13/2015,209.07,209.84,208.76,209.78,93670430,62.2372206,1.184237671,0.751806869,0.432430803,206.4163921,203.7964089,98.01223242,94.02206962,209.7021709,199.0143491,14.64944117,0,0
02/17/2015,209.4,210.32,209.1,210.11,76968199,62.84193979,1.42093769,0.79080551,0.63013218,207.0879572,204.0034118,99.04413832,97.88922214,210.5238714,199.0406486,14.12826956,0,0
02/18/2015,209.66,210.22,209.3401,210.13,80652941,62.88073605,1.591788843,0.76932533,0.822463513,207.6410559,204.2042836,98.75338753,98.60325276,211.2313487,199.1406713,14.14535042,0,0
02/19/2015,209.41,210.42,209.24,209.98,91462491,62.35489636,1.695540728,0.698461772,0.997078956,208.0663185,204.3936513,97.7588047,98.51877685,211.8381038,199.2239162,14.12603144,0,0
02/20/2015,209.48,211.33,208.73,211.239,140896392,65.00045449,1.857938464,0.688687606,1.169250857,208.6431696,204.618089,98.12678618,98.2129928,212.5678434,199.0080766,13.37337038,0,0
02/23/2015,210.94,211.21,210.48,211.209,74411054,64.8834445,1.961606907,0.63388484,1.327722067,209.1096843,204.8341844,98.12697501,98.00418863,213.263798,198.936022,13.15007942,0,0
02/24/2015,211.12,212.05,210.76,211.81,72472263,66.19627595,2.068417147,0.592556064,1.475861083,209.6006508,205.0628997,98.53199091,98.26191736,213.9911091,198.8447109,13.15552167,0,0
02/25/2015,211.66,212.24,211.22,211.63,73061687,65.40758315,2.114169704,0.510646896,1.603522807,209.9696233,205.2782145,96.18092429,97.61329673,214.5624617,199.1623583,11.99356406,0,0
02/26/2015,211.52,211.71,210.65,211.38,72697868,64.26237797,2.105979602,0.401965436,1.704014166,210.2260555,205.478273,93.09090909,95.93460809,214.7093935,200.1394265,10.69889226,0,0
02/27/2015,211.26,211.58,210.6,210.66,108075972,60.9524139,2.018127191,0.25129042,1.766836771,210.3049545,205.6481657,87.45630269,92.24271202,214.8225975,200.8932025,10.62412451,0,0
03-02-15,210.78,212.06,210.72,211.99,87491428,64.58152432,2.03239522,0.212446759,1.819948461,210.6113264,205.8560947,88.68316653,89.74345944,214.5024401,202.4673599,9.168094879,0,0
03-03-15,211.47,212.054,210.08,211.12,110325809,60.61304271,1.951010966,0.104850004,1.846160962,210.7038125,206.0286818,86.63640605,87.59195842,214.2490075,203.6407925,8.816001202,0,0
03-04-15,210.4,210.49,209.06,210.2301,114497192,56.77027846,1.794025458,-0.041708404,1.835733861,210.617683,206.1664332,82.43039528,85.91665595,214.1946993,204.2341107,7.842392771,0,0
03-05-15,210.62,210.8,209.85,210.46,76872957,57.51956691,1.66892598,-0.133446305,1.802372285,210.5890133,206.3072059,67.6710146,78.91260531,213.9378644,205.1309456,7.608871922,0,0
03-06-15,209.42,209.94,207.1,207.5,188127982,46.37448789,1.315769113,-0.389282538,1.70505165,210.0273745,206.3463139,38.71009463,62.93716817,213.8304062,205.3764038,8.779273777,0,0
03-09-15,207.74,208.79,207.5459,208.36,89818893,49.43975375,1.092688728,-0.489890338,1.582579066,209.7242155,206.4123364,24.58303118,43.65471347,213.5925114,205.8952986,8.797659353,0,0
03-10-15,206.71,206.81,204.93,204.98,157121263,39.80863184,0.635828727,-0.757400271,1.393228998,208.8616309,206.3653745,9.721432632,24.33818615,213.518944,206.003866,10.54869711,0,0
03-11-15,205.29,205.5,204.4,204.5,110145718,38.65693746,0.232353469,-0.928700423,1.161053892,208.0686071,206.3042147,6.949236077,13.7512333,213.872021,205.419789,9.81590535,0,0
03-12-15,205.26,207.175,205.2,207.1,93993523,47.51453316,0.12099988,-0.83204321,0.95304309,207.8924967,206.330306,12.39669421,9.689120975,213.8592672,205.4495428,10.87300123,0,0
