Date,Time,Open,High,Low,Close,Up,Down
7/1/2020,09:35,1083,1105,1080.5,1096.96,266085,171277
7/1/2020,09:40,1097.16,1100.84,1090.59,1100.33,144351,146374
7/1/2020,09:45,1100.72,1117.28,1100.27,1110.44,199714,187722
7/1/2020,09:50,1110.12,1118,1106,1115.84,144147,146348
7/1/2020,09:55,1115.74,1116.19,1105,1108.02,96027,117973
7/1/2020,10:00,1108.35,1112.65,1103.92,1111.39,93657,95083
7/1/2020,10:05,1111.63,1115.58,1107.6,1111.65,81632,79424
7/1/2020,10:10,1112.44,1113.99,1108.72,1112,56905,55617
7/1/2020,10:15,1112.49,1114.99,1108.52,1111.95,60732,58931
7/1/2020,10:20,1111.29,1119.85,1110.94,1119.29,86991,108866
7/1/2020,10:25,1119.38,1122,1116,1120.61,104385,106870
7/1/2020,10:30,1120.7,1127,1119.5,1124.54,118060,90892
7/1/2020,10:35,1125.48,1130.95,1123.78,1128.59,88151,94727
7/1/2020,10:40,1128.89,1130.72,1124.75,1130.72,70378,74536
7/1/2020,10:45,1130.44,1135.33,1129.53,1133.81,92814,85633
7/1/2020,10:50,1134.51,1134.95,1128.59,1129.06,84013,88543
7/1/2020,10:55,1129,1132.99,1126.37,1132.5,64891,61778
7/1/2020,11:00,1132.65,1132.79,1130.09,1132.1,32862,30845
7/1/2020,11:05,1132.51,1132.51,1126.6,1128.02,38358,48285
7/1/2020,11:10,1128.02,1131.92,1126.38,1130.97,50724,50027
7/1/2020,11:15,1130.7,1131.2,1127.36,1131.2,41064,45943
7/1/2020,11:20,1131.24,1133.5,1129,1129.85,61807,52487
7/1/2020,11:25,1129.94,1131.5,1127.77,1129,35319,37825
7/1/2020,11:30,1129.5,1130.35,1125.5,1125.87,27628,44792
7/1/2020,11:35,1126.08,1126.65,1118.53,1118.57,66548,83767
7/1/2020,11:40,1118.58,1124.95,1117.84,1124.52,60183,52546
7/1/2020,11:45,1124.45,1126.88,1123.56,1125.8,43577,44501
7/1/2020,11:50,1125.72,1128.46,1125.39,1126.89,31648,33166
7/1/2020,11:55,1126.77,1129.9,1126.77,1128.81,28342,23746
7/1/2020,12:00,1129,1129.02,1123.63,1126.37,23857,27636
7/1/2020,12:05,1126.75,1127.9,1126.29,1126.29,19592,18977
7/1/2020,12:10,1126.81,1127.19,1124.75,1124.75,15471,17109
7/1/2020,12:15,1124.21,1125.59,1122.81,1123.42,15727,17604
7/1/2020,12:20,1123.65,1124.37,1121.25,1123.59,25969,27693
7/1/2020,12:25,1123.69,1123.8,1117.1,1118.73,29105,38067
7/1/2020,12:30,1118.97,1122.6,1118.5,1121.59,37709,34207
7/1/2020,12:35,1122.56,1125.18,1120.6,1123.25,22845,19311
7/1/2020,12:40,1123.39,1125.79,1122.33,1125.37,23611,18757
7/1/2020,12:45,1125.54,1126.16,1122.54,1123.01,15772,13840
7/1/2020,12:50,1123.02,1124.3,1118.59,1118.59,32208,27631
7/1/2020,12:55,1118.47,1121.48,1118.45,1120,24017,22249
7/1/2020,13:00,1120.45,1122.84,1120.07,1121.94,17757,14540
7/1/2020,13:05,1122.27,1122.5,1118.74,1120.2,11502,12774
7/1/2020,13:10,1120.21,1120.36,1111.43,1111.65,44028,61035
7/1/2020,13:15,1111.51,1114.5,1109.5,1112.12,51923,55027
7/1/2020,13:20,1112.41,1119.74,1112.02,1118.37,47627,45732
7/1/2020,13:25,1118.35,1121.41,1117.44,1121.11,41926,36486
7/1/2020,13:30,1121.37,1121.75,1113,1115.7,37258,37465
7/1/2020,13:35,1115.54,1117.16,1114.01,1116.75,21995,18832
7/1/2020,13:40,1116.71,1116.71,1107.51,1110.7,36043,52609
7/1/2020,13:45,1110.57,1112.94,1108.5,1109.14,24182,31781
7/1/2020,13:50,1109.28,1113.95,1108.13,1112.73,44727,43815
7/1/2020,13:55,1112.54,1115.5,1111.16,1112.05,33244,34333
7/1/2020,14:00,1111.75,1113.68,1110.5,1111.92,20052,26942
7/1/2020,14:05,1111.75,1113.72,1110.51,1112.28,22930,15887
7/1/2020,14:10,1112.32,1113.5,1109.94,1113.06,22640,18584
7/1/2020,14:15,1112.89,1117.46,1112.87,1116.53,33360,25249
7/1/2020,14:20,1117.08,1121,1115.66,1120.86,49136,43561
7/1/2020,14:25,1120.71,1125,1120,1125,52008,58308
7/1/2020,14:30,1124.99,1127.95,1124.5,1124.78,51173,50705
7/1/2020,14:35,1124.57,1126,1121,1122.01,40824,47640
7/1/2020,14:40,1122.62,1123,1118.6,1120.8,30831,30484
7/1/2020,14:45,1120.75,1123.96,1120,1120.27,26335,28868
7/1/2020,14:50,1120.2,1123.5,1119.25,1121.98,21189,16458
7/1/2020,14:55,1121.56,1124.76,1120.48,1123.05,16609,13756
7/1/2020,15:00,1123.1,1124.61,1120.5,1121.78,25555,25068
7/1/2020,15:05,1122.45,1124.41,1120.11,1121.44,19736,25780
7/1/2020,15:10,1121.55,1121.59,1115.68,1117.24,39984,44761
7/1/2020,15:15,1117.77,1119.16,1113.79,1116.6,30022,44782
7/1/2020,15:20,1116.76,1121.4,1116.52,1121.33,38433,39190
7/1/2020,15:25,1120.75,1122.29,1118.68,1121.97,29904,27157
7/1/2020,15:30,1122.16,1123.37,1120.2,1122.87,29488,28445
7/1/2020,15:35,1123.35,1124.5,1120.85,1122,41465,38779
7/1/2020,15:40,1122.2,1122.38,1117.5,1120.7,36365,41357
7/1/2020,15:45,1120.73,1121.45,1119,1120.68,30005,22480
7/1/2020,15:50,1120.68,1124.44,1119.91,1123,50607,41492
7/1/2020,15:55,1123.07,1124.37,1120.13,1120.82,41908,34059
7/1/2020,16:00,1120.3,1121.47,1115,1119.54,83676,83781
7/2/2020,09:35,1220.88,1228,1197,1225,484479,380300
7/2/2020,09:40,1223.66,1225,1210,1214.72,193297,193267
7/2/2020,09:45,1215.24,1221.62,1208.84,1210.35,160279,186365
7/2/2020,09:50,1211,1215.69,1205.15,1208.79,113623,126835
7/2/2020,09:55,1208.99,1210.35,1196.61,1203.41,148453,164329
7/2/2020,10:00,1203.11,1209.92,1201.17,1206.14,101170,101893
7/2/2020,10:05,1206.46,1217.85,1204.01,1216.34,124739,108909
7/2/2020,10:10,1216.78,1219.89,1210.64,1216.18,106615,95759
7/2/2020,10:15,1216,1217.29,1208.7,1210.81,65580,75850
7/2/2020,10:20,1211.03,1213.64,1208.56,1210.4,66432,64375
7/2/2020,10:25,1210.27,1216,1209.87,1214.38,87975,64720
7/2/2020,10:30,1214.58,1215,1204.53,1205.44,63555,97938
7/2/2020,10:35,1206.21,1210.8,1202.2,1205.28,65914,76272
7/2/2020,10:40,1205,1206.56,1195.55,1198.48,94929,108744
7/2/2020,10:45,1198.94,1207.25,1198.22,1204.66,95672,75840
7/2/2020,10:50,1204.87,1206.13,1199,1200.17,47474,54773
7/2/2020,10:55,1200.54,1204.57,1194.38,1198.43,135201,79788
7/2/2020,11:00,1198.27,1199,1191,1194.41,79284,92807
7/2/2020,11:05,1194.35,1194.48,1185.98,1187.62,83134,140016
7/2/2020,11:10,1187.88,1196,1185.6,1193.11,101368,92991
7/2/2020,11:15,1193.65,1194,1189.72,1190.91,59671,56902
7/2/2020,11:20,1190.88,1199.55,1187.35,1199,85962,69812
